smile,classe
CCCCCCCC\C=C/CCCCCCCC(=O)OCCCc1ccc2oc(cc2c1)-c1ccc2OCOc2c1,CHEBI_76924
C=1C=CC(COC(N[C@H](C(NC(C(=O)CF)CCC(N(C)C)=O)=O)CC(C)C)=O)=CC1,CHEBI_16670
OC1CC(O)C(O)C(O)CS(=O)CC(O)C(O)C(O)C(O)C1,CHEBI_25212
O=C(N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(O)=O)CC(=O)N)[C@@H](N)[C@H](CC)C,CHEBI_25676
O=C(N[C@@H](CC(C)C)C(O)=O)[C@H]1N(CCC1)C(=O)CN,CHEBI_25676
C(\CCCCCCCC(=O)NCC(O)=O)=C\CCCCCCCC,CHEBI_25212
Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP([O-])(=O)OP([O-])([O-])=O)O1,CHEBI_77746
C1=C(C(=CC=N1)N2CCNCC2)NC(C3=CSC(=N3)N4C(C5=C(C4)C=CC(=C5)OC)=O)=O,CHEBI_35610
[H][C@]12Cc3cc(\C=C\c4cc(O)c(CC=C(C)C)c(O)c4)cc(O)c3O[C@]1(C)C[C@@H](O)[C@@H](O)C2(C)C,CHEBI_35610
C12=C(NC=C1C([H])=O)C=CC=C2,CHEBI_76924
